The IOP Mass Simulation Data Of Se41
The abundance value of all kinds of IOP elements in the different atom is as follow
Se
79.916520     0.498000
77.919000     0.237000
75.919212     0.092000
81.916698     0.088000
76.919912     0.076000
73.922475     0.009000
The distribution of abundance in Se41 is as follow
  M / Z        Abundance       Spread        Multiplicity
3,192.656604  0.00000000    0.00000001           1
3,192.657312  0.00000000    0.00000020           2
3,192.657702  0.00000000    0.00000025           1
3,192.658092  0.00000000    0.00000012           1
3,192.658482  0.00000000    0.00000003           1
3,192.659580  0.00000000    0.00000004           1
3,192.659970  0.00000000    0.00000005           1
3,192.660360  0.00000000    0.00000003           1
3,194.637237  0.00000000    0.00000003           3
3,194.639505  0.00000000    0.00000034           3
3,194.639895  0.00000000    0.00000002           1
3,194.641224  0.00000000    0.00000116           2
3,194.641614  0.00000000    0.00000067           2
3,194.642163  0.00000000    0.00000015           1
3,194.642553  0.00000000    0.00000002           1
3,194.643492  0.00000000    0.00000331           2
3,194.643882  0.00000000    0.00000234           2
3,194.644272  0.00000000    0.00000066           1
3,194.644662  0.00000000    0.00000010           1
3,194.645760  0.00000000    0.00000584           2
3,194.646150  0.00000000    0.00000486           2
3,194.646540  0.00000000    0.00000163           1
3,194.646930  0.00000000    0.00000029           1
3,194.647320  0.00000000    0.00000003           1
3,194.648028  0.00000000    0.00000669           2
3,194.648418  0.00000000    0.00000639           2
3,194.648808  0.00000000    0.00000245           1
3,194.649198  0.00000000    0.00000050           1
3,194.649588  0.00000000    0.00000006           1
3,194.650296  0.00000000    0.00000509           2
3,194.650686  0.00000000    0.00000548           2
3,194.651076  0.00000000    0.00000236           1
3,194.651466  0.00000000    0.00000054           1
3,194.651856  0.00000000    0.00000007           1
3,194.652564  0.00000000    0.00000263           2
3,194.652954  0.00000000    0.00000314           2
3,194.653344  0.00000000    0.00000149           1
3,194.653734  0.00000000    0.00000037           1
3,194.654124  0.00000000    0.00000005           1
3,194.654832  0.00000000    0.00000093           2
3,194.655222  0.00000000    0.00000122           2
3,194.655612  0.00000000    0.00000063           1
3,194.656002  0.00000000    0.00000017           1
3,194.656392  0.00000000    0.00000003           1
